ticker,name,sector
ALIMR.PA,IMMERSION,Technology
EOS.PA,ACTEOS,Technology
EGR.PA,EVERGREEN,Technology
ALDOL.PA,DOLFINES,Energy
ALGEC.PA,GECI INTL,Technology
BIG.PA,BIGBEN INTERACTIVE,Consumer Discretionary
ITXT.PA,INTEXA,Consumer Discretionary
ALENT.PA,ETHERO,Technology
ALREA.PA,REALITES,Real Estate
ALDBT.PA,DBT,Industrials
BUI.PA,BARBARA BUI,Consumer Discretionary
CFI.PA,CFI,Real Estate
SLCO.PA,SELCODIS,Industrials
ALNMG.PA,NETMEDIA GROUP,Consumer Discretionary
ALHPI.PA,HOPIUM,Consumer Discretionary
ALLPL.PA,LEPERMISLIBRE,Consumer Discretionary
ALEUP.PA,EUROPLASMA,Utilities
ALNMR.PA,NAMR,Technology
ALSRS.PA,SIRIUS MEDIA,Consumer Discretionary
ALTHO.PA,METAVISIO,Technology
ALINT.PA,INTEGRAGEN,Health Care
ALMAS.PA,MASTRAD,Consumer Discretionary
ALUCI.PA,LUCIBEL,Industrials
LEBL.PA,FONCIERE 7 INVEST,Industrials
ALALO.PA,ACHETER-LOUER.FR,Technology
ALSAF.PA,SAFE,Health Care
ALBOO.PA,BOOSTHEAT,Energy
ALADO.PA,ADOMOS,Real Estate
ALTOO.PA,TOOSLA,Consumer Discretionary
ALNEV.PA,NEOVACS,Health Care
ML.PA,MICHELIN,Consumer Discretionary
ALO.PA,ALSTOM,Industrials
CDI.PA,CHRISTIAN DIOR,Consumer Discretionary
BNBS.PA,DRONE VOLT BS28,Industrials
ENX.PA,EURONEXT,Financials
MONT.PA,MONTEA,Real Estate
ALPG.PA,PREATONI GROUP,Real Estate
PUB.PA,PUBLICIS GROUPE SA,Consumer Discretionary
RCO.PA,REMY COINTREAU,Consumer Staples
CBR.PA,ROBERTET CDV 87,Basic Materials
UBI.PA,UBISOFT ENTERTAIN,Consumer Discretionary
